,node_id,name,id,node_type,is_hub
0,0,abalone,,ingredient,hub
1,1,acorn,,ingredient,hub
2,2,active_dry_yeast,,ingredient,no_hub
3,3,adzuki_bean,,ingredient,hub
4,4,agar,,ingredient,hub
5,5,agave,,ingredient,hub
6,6,albacore_tuna,,ingredient,hub
7,7,alfalfa,,ingredient,hub
8,8,all_purpose_flour,,ingredient,no_hub
9,9,allspice,,ingredient,hub
10,10,almond,,ingredient,hub
11,11,almond_extract,,ingredient,no_hub
12,12,amaranth,,ingredient,hub
13,13,anchovy,,ingredient,hub
14,14,angelica,,ingredient,hub
15,15,anise,,ingredient,hub
16,16,apple,,ingredient,hub
17,17,apple_brandy,,ingredient,hub
18,18,apple_cider_vinegar,,ingredient,hub
19,19,apricot,,ingredient,hub
20,20,arrowroot,,ingredient,hub
21,21,artichoke,,ingredient,hub
22,22,asparagus,,ingredient,hub
23,23,avocado,,ingredient,hub
24,24,bacon,,ingredient,no_hub
25,25,bagel,,ingredient,hub
26,26,baking_powder,,ingredient,no_hub
27,27,baking_soda,,ingredient,no_hub
28,28,balsamic_vinegar,,ingredient,no_hub
29,29,bamboo_shoot,,ingredient,hub
30,30,banana,,ingredient,hub
31,31,barbecue_sauce,,ingredient,no_hub
32,32,barley,,ingredient,hub
33,33,bartlett_pear,,ingredient,hub
34,34,basil,,ingredient,hub
35,35,basil_leaf,,ingredient,no_hub
36,36,basmati_rice,,ingredient,hub
37,37,bay_leaf,,ingredient,no_hub
38,38,bean,,ingredient,hub
39,39,beef,,ingredient,hub
40,40,beef_broth,,ingredient,no_hub
41,41,beer,,ingredient,hub
42,42,beetroot,,ingredient,hub
43,43,bell_pepper,,ingredient,no_hub
44,44,berry,,ingredient,hub
45,45,biscuit,,ingredient,hub
46,46,bittersweet_chocolate,,ingredient,no_hub
47,47,black_bean,,ingredient,no_hub
48,48,black_currant,,ingredient,hub
49,49,black_eyed_pea,,ingredient,hub
50,50,black_olive,,ingredient,no_hub
51,51,black_pepper,,ingredient,no_hub
52,52,black_raspberry,,ingredient,hub
53,53,black_tea,,ingredient,hub
54,54,black_walnut,,ingredient,hub
55,55,blackberry,,ingredient,hub
56,56,blackberry_brandy,,ingredient,hub
57,57,blue_cheese,,ingredient,hub
58,58,blueberry,,ingredient,hub
59,59,bluefish,,ingredient,hub
60,60,boiling_water,,ingredient,no_hub
61,61,boneless_skinless_chicken_breast,,ingredient,no_hub
62,62,boneless_skinless_chicken_breast_half,,ingredient,no_hub
63,63,boysenberry,,ingredient,hub
64,64,brandy,,ingredient,hub
65,65,brazil_nut,,ingredient,hub
66,66,bread,,ingredient,hub
67,67,bread_flour,,ingredient,no_hub
68,68,breadcrumb,,ingredient,no_hub
69,69,breadfruit,,ingredient,hub
70,70,breakfast_cereal,,ingredient,hub
71,71,broad_bean,,ingredient,hub
72,72,broccoli,,ingredient,hub
73,73,broccoli_floret,,ingredient,no_hub
74,74,brown_sugar,,ingredient,no_hub
75,75,brussels_sprout,,ingredient,hub
76,76,buffalo,,ingredient,hub
77,77,bulgur,,ingredient,hub
78,78,burrito,,ingredient,hub
79,79,butter,,ingredient,hub
80,80,buttermilk,,ingredient,hub
81,81,butternut_squash,,ingredient,hub
82,82,cabbage,,ingredient,hub
83,83,cake,,ingredient,hub
84,84,cake_flour,,ingredient,no_hub
85,85,camembert_cheese,,ingredient,hub
86,86,candy_bar,,ingredient,hub
87,87,canola_oil,,ingredient,hub
88,88,caper,,ingredient,hub
89,89,capsicum,,ingredient,hub
90,90,cardamom,,ingredient,hub
91,91,cardoon,,ingredient,hub
92,92,carom_seed,,ingredient,hub
93,93,carrot,,ingredient,hub
94,94,cashew_nut,,ingredient,hub
95,95,cassava,,ingredient,hub
96,96,cassia,,ingredient,hub
97,97,caster_sugar,,ingredient,no_hub
98,98,catfish,,ingredient,hub
99,99,cauliflower,,ingredient,hub
100,100,caviar,,ingredient,hub
101,101,cayenne,,ingredient,no_hub
102,102,cayenne_pepper,,ingredient,no_hub
103,103,celery,,ingredient,hub
104,104,celery_rib,,ingredient,no_hub
105,105,champagne,,ingredient,hub
106,106,chayote,,ingredient,hub
107,107,cheddar_cheese,,ingredient,hub
108,108,cheese,,ingredient,hub
109,109,cherry,,ingredient,hub
110,110,cherry_brandy,,ingredient,hub
111,111,cherry_pepper,,ingredient,hub
112,112,cherry_tomato,,ingredient,hub
113,113,chervil,,ingredient,hub
114,114,chestnut,,ingredient,hub
115,115,chicken,,ingredient,hub
116,116,chicken_breast,,ingredient,no_hub
117,117,chicken_broth,,ingredient,no_hub
118,118,chicken_stock,,ingredient,no_hub
119,119,chickpea,,ingredient,hub
120,120,chili,,ingredient,hub
121,121,chili_powder,,ingredient,no_hub
122,122,chinese_cabbage,,ingredient,hub
123,123,chinese_mustard,,ingredient,hub
124,124,chive,,ingredient,hub
125,125,chocolate,,ingredient,hub
126,126,chocolate_chip,,ingredient,no_hub
127,127,chocolate_spread,,ingredient,hub
128,128,cider,,ingredient,hub
129,129,cider_vinegar,,ingredient,no_hub
130,130,cilantro,,ingredient,no_hub
131,131,cinnamon,,ingredient,hub
132,132,cinnamon_stick,,ingredient,no_hub
133,133,citrus_fruit,,ingredient,hub
134,134,clam,,ingredient,hub
135,135,clementine,,ingredient,hub
136,136,clove,,ingredient,hub
137,137,coarse_salt,,ingredient,no_hub
138,138,cocoa,,ingredient,hub
139,139,cocoa_butter,,ingredient,hub
140,140,cocoa_powder,,ingredient,hub
141,141,coconut,,ingredient,hub
142,142,coconut_milk,,ingredient,no_hub
143,143,coffee,,ingredient,hub
