node_id,name,id,node_type,is_hub
0,abalone,,ingredient,hub
1,acorn,,ingredient,hub
2,active_dry_yeast,,ingredient,no_hub
3,adzuki_bean,,ingredient,hub
4,agar,,ingredient,hub
5,agave,,ingredient,hub
6,albacore_tuna,,ingredient,hub
7,alfalfa,,ingredient,hub
8,all_purpose_flour,,ingredient,no_hub
9,allspice,,ingredient,hub
10,almond,,ingredient,hub
11,almond_extract,,ingredient,no_hub
12,amaranth,,ingredient,hub
13,anchovy,,ingredient,hub
14,angelica,,ingredient,hub
15,anise,,ingredient,hub
16,apple,,ingredient,hub
17,apple_brandy,,ingredient,hub
18,apple_cider_vinegar,,ingredient,hub
19,apricot,,ingredient,hub
20,arrowroot,,ingredient,hub
21,artichoke,,ingredient,hub
22,asparagus,,ingredient,hub
23,avocado,,ingredient,hub
24,bacon,,ingredient,no_hub
25,bagel,,ingredient,hub
26,baking_powder,,ingredient,no_hub
27,baking_soda,,ingredient,no_hub
28,balsamic_vinegar,,ingredient,no_hub
29,bamboo_shoot,,ingredient,hub
30,banana,,ingredient,hub
31,barbecue_sauce,,ingredient,no_hub
32,barley,,ingredient,hub
33,bartlett_pear,,ingredient,hub
34,basil,,ingredient,hub
35,basil_leaf,,ingredient,no_hub
36,basmati_rice,,ingredient,hub
37,bay_leaf,,ingredient,no_hub
38,bean,,ingredient,hub
39,beef,,ingredient,hub
40,beef_broth,,ingredient,no_hub
41,beer,,ingredient,hub
42,beetroot,,ingredient,hub
43,bell_pepper,,ingredient,no_hub
44,berry,,ingredient,hub
45,biscuit,,ingredient,hub
46,bittersweet_chocolate,,ingredient,no_hub
47,black_bean,,ingredient,no_hub
48,black_currant,,ingredient,hub
49,black_eyed_pea,,ingredient,hub
50,black_olive,,ingredient,no_hub
51,black_pepper,,ingredient,no_hub
52,black_raspberry,,ingredient,hub
53,black_tea,,ingredient,hub
54,black_walnut,,ingredient,hub
55,blackberry,,ingredient,hub
56,blackberry_brandy,,ingredient,hub
57,blue_cheese,,ingredient,hub
58,blueberry,,ingredient,hub
59,bluefish,,ingredient,hub
60,boiling_water,,ingredient,no_hub
61,boneless_skinless_chicken_breast,,ingredient,no_hub
62,boneless_skinless_chicken_breast_half,,ingredient,no_hub
63,boysenberry,,ingredient,hub
64,brandy,,ingredient,hub
65,brazil_nut,,ingredient,hub
66,bread,,ingredient,hub
67,bread_flour,,ingredient,no_hub
68,breadcrumb,,ingredient,no_hub
69,breadfruit,,ingredient,hub
70,breakfast_cereal,,ingredient,hub
71,broad_bean,,ingredient,hub
72,broccoli,,ingredient,hub
73,broccoli_floret,,ingredient,no_hub
74,brown_sugar,,ingredient,no_hub
75,brussels_sprout,,ingredient,hub
76,buffalo,,ingredient,hub
77,bulgur,,ingredient,hub
78,burrito,,ingredient,hub
79,butter,,ingredient,hub
80,buttermilk,,ingredient,hub
81,butternut_squash,,ingredient,hub
82,cabbage,,ingredient,hub
83,cake,,ingredient,hub
84,cake_flour,,ingredient,no_hub
85,camembert_cheese,,ingredient,hub
86,candy_bar,,ingredient,hub
87,canola_oil,,ingredient,hub
88,caper,,ingredient,hub
89,capsicum,,ingredient,hub
90,cardamom,,ingredient,hub
91,cardoon,,ingredient,hub
92,carom_seed,,ingredient,hub
93,carrot,,ingredient,hub
94,cashew_nut,,ingredient,hub
95,cassava,,ingredient,hub
96,cassia,,ingredient,hub
97,caster_sugar,,ingredient,no_hub
98,catfish,,ingredient,hub
99,cauliflower,,ingredient,hub
100,caviar,,ingredient,hub
101,cayenne,,ingredient,no_hub
102,cayenne_pepper,,ingredient,no_hub
103,celery,,ingredient,hub
104,celery_rib,,ingredient,no_hub
105,champagne,,ingredient,hub
106,chayote,,ingredient,hub
107,cheddar_cheese,,ingredient,hub
108,cheese,,ingredient,hub
109,cherry,,ingredient,hub
110,cherry_brandy,,ingredient,hub
111,cherry_pepper,,ingredient,hub
112,cherry_tomato,,ingredient,hub
113,chervil,,ingredient,hub
114,chestnut,,ingredient,hub
115,chicken,,ingredient,hub
116,chicken_breast,,ingredient,no_hub
117,chicken_broth,,ingredient,no_hub
118,chicken_stock,,ingredient,no_hub
119,chickpea,,ingredient,hub
120,chili,,ingredient,hub
121,chili_powder,,ingredient,no_hub
122,chinese_cabbage,,ingredient,hub
123,chinese_mustard,,ingredient,hub
124,chive,,ingredient,hub
125,chocolate,,ingredient,hub
126,chocolate_chip,,ingredient,no_hub
127,chocolate_spread,,ingredient,hub
128,cider,,ingredient,hub
129,cider_vinegar,,ingredient,no_hub
130,cilantro,,ingredient,no_hub
131,cinnamon,,ingredient,hub
132,cinnamon_stick,,ingredient,no_hub
133,citrus_fruit,,ingredient,hub
134,clam,,ingredient,hub
135,clementine,,ingredient,hub
136,clove,,ingredient,hub
137,coarse_salt,,ingredient,no_hub
138,cocoa,,ingredient,hub
139,cocoa_butter,,ingredient,hub
140,cocoa_powder,,ingredient,hub
141,coconut,,ingredient,hub
142,coconut_milk,,ingredient,no_hub
143,coffee,,ingredient,hub
144,cold_water,,ingredient,no_hub
145,comte_cheese,,ingredient,hub
146,conch,,ingredient,hub
147,condensed_milk,,ingredient,hub
148,confectioners'_sugar,,ingredient,no_hub
149,cooked_chicken,,ingredient,no_hub
150,cooked_rice,,ingredient,no_hub
151,cooking_oil,,ingredient,hub
152,cooking_spray,,ingredient,no_hub
153,coriander,,ingredient,hub
154,corn,,ingredient,hub
155,corn_chip,,ingredient,hub
156,corn_oil,,ingredient,hub
157,corn_tortilla,,ingredient,no_hub
158,cornbread,,ingredient,hub
159,cornmeal,,ingredient,no_hub
160,cornstarch,,ingredient,no_hub
161,cottage_cheese,,ingredient,hub
162,couscous,,ingredient,hub
163,crab,,ingredient,hub
164,cracked_black_pepper,,ingredient,no_hub
165,cranberry,,ingredient,hub
166,crayfish,,ingredient,hub
167,cream,,ingredient,hub
168,cream_cheese,,ingredient,hub
169,cream_of_mushroom_soup,,ingredient,no_hub
170,cream_of_tartar,,ingredient,no_hub
171,crushed_pineapple,,ingredient,no_hub
172,crushed_red_pepper_flake,,ingredient,no_hub
173,cucumber,,ingredient,hub
174,cumin,,ingredient,hub
175,cumin_seed,,ingredient,no_hub
176,currant,,ingredient,hub
177,curry_leaf,,ingredient,hub
178,curry_powder,,ingredient,no_hub
179,cuttlefish,,ingredient,hub
180,dark_brown_sugar,,ingredient,no_hub
181,date,,ingredient,hub
182,deer,,ingredient,hub
183,diced_tomato,,ingredient,no_hub
184,dijon_mustard,,ingredient,no_hub
185,dill,,ingredient,hub
186,dried_basil,,ingredient,no_hub
187,dried_cranberry,,ingredient,no_hub
188,dried_oregano,,ingredient,no_hub
189,dried_parsley,,ingredient,no_hub
190,dried_thyme,,ingredient,no_hub
191,dry_mustard,,ingredient,no_hub
192,dry_white_wine,,ingredient,no_hub
193,dulce_de_leche,,ingredient,hub
194,dumpling,,ingredient,hub
195,egg,,ingredient,hub
196,egg_white,,ingredient,no_hub
197,egg_yolk,,ingredient,no_hub
198,eggplant,,ingredient,hub
199,elderberry,,ingredient,hub
200,endive,,ingredient,hub
201,epazote,,ingredient,hub
202,evaporated_milk,,ingredient,hub
203,extra_virgin_olive_oil,,ingredient,no_hub
204,fennel,,ingredient,hub
205,feta_cheese,,ingredient,hub
206,fig,,ingredient,hub
207,filbert,,ingredient,hub
208,fish,,ingredient,hub
209,fish_sauce,,ingredient,no_hub
210,flat_leaf_parsley,,ingredient,no_hub
211,flour,,ingredient,hub
212,flour_tortilla,,ingredient,no_hub
